,endTime,artistName,trackName,msPlayed
4360,2021-10-27 04:56,Maroon 5,Animals,231013
4361,2021-10-27 05:00,Maroon 5,Animals,231013
4362,2021-10-27 05:04,Maroon 5,This Summer,224400
4363,2021-10-27 05:07,Maroon 5,Maps,189960
4364,2021-10-27 05:09,Maroon 5,Sugar,107558
4365,2021-10-27 05:18,Shawn Mendes,Teach Me How To Love,2250
4366,2021-10-27 05:22,Maroon 5,Animals,231013
4367,2021-10-27 05:25,The xx,Replica,207506
4368,2021-10-27 05:29,The Weeknd,Nothing Without You,198653
4369,2021-10-27 05:34,Calvin Harris,Promises (with Sam Smith),61676
4370,2021-10-27 05:38,Maroon 5,Animals,231013
4371,2021-10-27 05:42,Rihanna,American Oxygen,244006
4372,2021-10-27 05:44,Harry Styles,"Girl Crush - Recorded at Metropolis Studios, London",130590
4373,2021-10-27 05:48,Sam Smith,I'm Not The Only One,239316
4374,2021-10-27 05:49,The Weeknd,Angel,64433
4375,2021-10-27 05:53,BETWEEN FRIENDS,affection,235225
4376,2021-10-27 05:56,Realestk,WFM,136000
4377,2021-10-27 05:59,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4378,2021-10-27 06:03,Doja Cat,Get Into It (Yuh),138293
4379,2021-10-27 06:06,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4380,2021-10-27 06:10,Taylor Swift,Wildest Dreams (Taylor's Version),220433
4381,2021-10-27 06:13,Dazel Ukuto,I Want You Back (Remix),142913
4382,2021-10-27 06:14,Dua Lipa,Love Again - Imanbek Remix,6351
4383,2021-10-27 06:14,MC Flavor Crew,Talk About You (I Want You Back) [Talking to the Moon Tiktok Remix),79699
4384,2021-10-27 06:18,Shawn Mendes,Teach Me How To Love,7796
4385,2021-10-27 06:18,Maroon 5,Animals,231013
4386,2021-10-27 06:22,BETWEEN FRIENDS,affection,235225
4387,2021-10-27 06:24,Realestk,WFM,136000
4388,2021-10-27 06:26,Gesaffelstein,Lost in the Fire (feat. The Weeknd),108314
4389,2021-10-27 06:27,Maroon 5,Animals,35440
4390,2021-10-27 06:32,Beyond the Self with Africa Brooke,#011 - Why you might be having an identity crisis,293660
4391,2021-10-27 06:36,BETWEEN FRIENDS,affection,235225
4392,2021-10-27 06:38,Realestk,WFM,136000
4393,2021-10-27 06:41,Gesaffelstein,Lost in the Fire (feat. The Weeknd),201426
4394,2021-10-27 06:43,Doja Cat,Get Into It (Yuh),138293
4395,2021-10-27 06:45,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,92644
4396,2021-10-27 06:49,BETWEEN FRIENDS,affection,235225
4397,2021-10-27 06:51,Realestk,WFM,136000
4398,2021-10-27 06:55,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4399,2021-10-27 06:57,Doja Cat,Get Into It (Yuh),138293
4400,2021-10-27 07:00,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4401,2021-10-27 07:04,Taylor Swift,Wildest Dreams (Taylor's Version),220433
4402,2021-10-27 07:07,Dazel Ukuto,I Want You Back (Remix),142913
4403,2021-10-27 07:08,MC Flavor Crew,Talk About You (I Want You Back) [Talking to the Moon Tiktok Remix),79699
4404,2021-10-27 07:18,Dua Lipa,Love Again - Imanbek Remix,196871
4405,2021-10-27 07:22,Maroon 5,Animals,231013
4406,2021-10-27 07:25,Shawn Mendes,Teach Me How To Love,202356
4407,2021-10-27 07:29,BETWEEN FRIENDS,affection,235225
4408,2021-10-27 07:32,Realestk,WFM,136000
4409,2021-10-27 07:35,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4410,2021-10-27 07:37,Doja Cat,Get Into It (Yuh),138293
4411,2021-10-27 07:41,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4412,2021-10-27 07:45,Taylor Swift,Wildest Dreams (Taylor's Version),220433
4413,2021-10-27 08:11,Dazel Ukuto,I Want You Back (Remix),106444
4414,2021-10-27 08:16,Maroon 5,Animals,231013
4415,2021-10-27 08:19,Shawn Mendes,Teach Me How To Love,202356
4416,2021-10-27 08:23,BETWEEN FRIENDS,affection,235225
4417,2021-10-27 08:24,Realestk,WFM,53894
4418,2021-10-27 08:28,Gesaffelstein,Lost in the Fire (feat. The Weeknd),224173
4419,2021-10-27 08:29,Gesaffelstein,Lost in the Fire (feat. The Weeknd),190
4420,2021-10-27 08:29,Doja Cat,Get Into It (Yuh),100036
4421,2021-10-27 08:32,Realestk,WFM,136000
4422,2021-10-27 08:35,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4423,2021-10-27 08:37,Doja Cat,Get Into It (Yuh),138293
4424,2021-10-27 08:41,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4425,2021-10-27 08:42,Taylor Swift,Wildest Dreams (Taylor's Version),54273
4426,2021-10-27 11:39,Gesaffelstein,Lost in the Fire (feat. The Weeknd),50
4427,2021-10-27 11:39,Doja Cat,Get Into It (Yuh),10000
4428,2021-10-27 11:39,Doja Cat,Get Into It (Yuh),360
4429,2021-10-27 11:39,Maroon 5,Animals,56850
4430,2021-10-27 11:58,BETWEEN FRIENDS,affection,218120
4431,2021-10-27 12:02,Maroon 5,Animals,231013
4432,2021-10-27 12:05,Shawn Mendes,Teach Me How To Love,202356
4433,2021-10-27 12:09,BETWEEN FRIENDS,affection,235225
4434,2021-10-27 12:13,Realestk,WFM,28584
4435,2021-10-27 12:17,BETWEEN FRIENDS,affection,235225
4436,2021-10-27 12:19,Realestk,WFM,136000
4437,2021-10-27 12:23,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4438,2021-10-27 12:25,Doja Cat,Get Into It (Yuh),138293
4439,2021-10-27 12:29,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4440,2021-10-27 12:32,Taylor Swift,Wildest Dreams (Taylor's Version),220433
4441,2021-10-27 12:35,Dazel Ukuto,I Want You Back (Remix),142913
4442,2021-10-27 12:36,MC Flavor Crew,Talk About You (I Want You Back) [Talking to the Moon Tiktok Remix),79699
4443,2021-10-27 12:40,Dua Lipa,Love Again - Imanbek Remix,214000
4444,2021-10-27 12:44,Dua Lipa,Love Again,258004
4445,2021-10-27 12:47,Billie Eilish,Bored,180933
4446,2021-10-27 12:51,Doja Cat,Streets - Silhouette Remix,242692
4447,2021-10-27 12:53,Snoh Aalegra,Worse,132760
4448,2021-10-27 12:56,Justin Bieber,Red Eye (feat. TroyBoi),187452
4449,2021-10-27 13:30,Madonna,Frozen,172208
4450,2021-10-27 13:39,Maroon 5,Animals,231013
